lemma_slp1	example_slp1	example_sa	example_ru	example_work	example_passage	example_kind
Agastya	Agastyam	āgastyam	об Агастье	01_mahabharata-adiparva	1.2.105-129	translation
AgatAgama	AgatAgama	āgatāgama	обретший знание	03_mahabharata-aranyakaparva	3.29.1-5	translation
AgatAsTa	AgatAsTa	āgatāstha	волненья исполненный	buddhacharita	3.27	translation
Agata	Agata	āgata	пришел	01_mahabharata-adiparva	1.1.8-14	translation
Agatavismaya	AgatavismayAni	āgatavismayāni	придя в изумление	buddhacharita	1.23	translation
Agati	Agati	āgati	вещей	02_ramayana-ayodhyakanda	110.1	translation
Agneya	Agneya	āgneya	Агнеи	02_ramayana-ayodhyakanda	71.3	translation
AgniveSi	AgniveSi	āgniveśi	сына Агнивеши	05_rigveda	34.9	translation
AgniveSya	AgniveSya	āgniveśya	Агнивешьи	br-up	2.6.2	translation
Agraha	Agraha	āgraha	упорство	shukasaptati	6.10	translation
AgrayaRa	AgrayaRa	āgrayaṇa	от первых плодов	manavadharmashastra	6.10	translation
AgrayaRaka	AgrayaRaka	āgrayaṇaka	пора	03_ramayana-aranyakanda	16.6	translation
AhAra	AhAra	āhāra	пищи	01_mahabharata-adiparva	1.2.234-243	translation
AhAraSudDi	AhAraSudDyA	āhāraśuddhyā	чистотой вкушаемой пищи	buddhacharita	7.28	translation
AhArasaMBava	AhArasamBavam	āhārasambhavam	порождаемое пищей	14_mahabharata-ashvamedhikaparva	14.17.20-27	translation
AhAray	AhArayet	āhārayet	заставлять вносить	manavadharmashastra	10.119	translation
AhArya	AhArya	āhārya	отрешению	gitarthasamgraha-abhinavagupta	2.61	translation
AhAva	AhAvAH	āhāvāḥ	чана	01_rigveda	34.8	translation
AhU	Ahu	āhu	говорят	01_mahabharata-adiparva	1.3.88-95	translation
AhUrya	AhUrya	āhūrya	способный навредить	01_rigveda	69.3-4	translation
AhUtADyAyin	AhUtADyAyI	āhūtādhyāyī	приступает к учебе, когда его позовут	01_mahabharata-adiparva	1.86.2-7	translation
Aha	Aho	āho	то	06_mahabharata-bhishmaparva	6.39.1	translation
Ahan	Ahatam	āhatam	прибившись	01_atharvaveda	11.4	translation
Ahanana	Ahanana	āhanana	убийство	12_atharvaveda	5.39	translation
Ahanas	Ahano	āhano	сладострастная	10_rigveda	10.6	translation
Ahara	AharA	ā harā	возьми	14_atharvaveda	2.21	translation
AharaRa	AharaRa	āharaṇa	приобретение	01_mahabharata-adiparva	1.1.210	translation
Ahartf	Ahartf	āhartṛ	совершивший	02_ramayana-ayodhyakanda	100.8	translation
Ahata	Ahatam	āhatam	прибившись	01_atharvaveda	11.4	translation
AhatalakzaRa	AhatalakzaRa	āhatalakṣaṇa	украшен рубцами от ран	03_mahabharata-aranyakaparva	3.48.36-37	translation
Ahava	Ahavezu	āhaveṣu	в бою	01_mahabharata-adiparva	1.1.139-147	translation
AhavaSoBin	AhavaSoBin	āhavaśobhin	украшение боя	03_mahabharata-aranyakaparva	3.243.18-24	translation
AhavanIya	AhavanIya	āhavanīya	ахавания	manavadharmashastra	2.231	translation
Ahavana	AhavanAni	āhavanāni	жертвенные возлияния	07_rigveda	1.17	translation
Ahf	AjahAra	ājahāra	обеспечил	01_mahabharata-adiparva	1.1.82-90	translation
Ahfti	AhftInAm	āhṛtīnām	соплеменников Ахрити	05_mahabharata-udyogaparva	5.155.1-10	translation
Ahi	Aham	āham	я	05_ramayana-sundarakanda	26.3	translation
AhitAgni	AhitAgner	āhitāgner	хранящего священный огонь	manavadharmashastra	3.282	translation
AhitalakzaRa	AhitalakzaRa	āhitalakṣaṇa	отмеченный благими достоинствами	raghuvamsha	6.71-73	translation
AhlAda	AhlAda	āhlāda	радость	pratyabhijna-hridaya_kshemaraja	1.1.20	translation
Ahna	Ahna	āhna	вечер	03_ramayana-aranyakanda	73.19	translation
Ahnika	Ahnika	āhnika	утреннее	01_ramayana-balakanda	23.2	translation
Aho	Aho	āho	то	06_mahabharata-bhishmaparva	6.39.1	translation
Ahosvit	Ahosvit	āhosvit	или	05_ramayana-sundarakanda	55.13	translation
Ahu	AhUya	āhūya	позвав	01_mahabharata-adiparva	1.3.88-95	translation
Ahuka	Ahuka	āhuka	Ахуке	03_mahabharata-aranyakaparva	3.21.1-7	translation
Ahuti	Ahuti	āhuti	жертва	manavadharmashastra	3.76	translation
AhvA	AhUya	āhūya	позвав	01_mahabharata-adiparva	1.3.88-95	translation
AhvAna	AhvAna	āhvāna	взывая	01_mahabharata-adiparva	1.3.24-31	translation
Ahvaya	Ahvaye	āhvaye	призываю	02_ramayana-ayodhyakanda	91.12	translation
Ahvayana	Ahvayana	āhvayana	зовутся	02_ramayana-ayodhyakanda	95.11	translation
Ahvayitavya	Ahvayitavya	āhvayitavya	должен быть вызван	07_mahabharata-dronaparva	7.157.1-7	translation
Ahve	AhvayamAna	āhvayamāna	вызывал	09_mahabharata-shalyaparva	9.55.6-14	translation
Aj	AjAti	ājāti	существований	manavadharmashastra	8.82	translation
AjAnadeva	AjAnadeva	ājānadeva	богов по рождению	br-up	4.3.33	translation
AjAnaja	AjAnaja	ājānaja	богов по рождению	tai-up	2.8.2	translation
AjAneya	AjAneyAH	ājāneyāḥ	благородных кровей	07_mahabharata-dronaparva	7.7.7-13	translation
AjAnu	AjAnu	ājānu	до колен	raghuvamsha	16.82-85	translation
AjAnubAhu	AjAnubAhu	ājānubāhu	Длиннорукий	02_ramayana-ayodhyakanda	48.29	translation
AjAti	AjAtIH	ājātīḥ	раз	manavadharmashastra	4.166	translation
AjIv	AjIvA	ājīvā	обученные музыке	02_ramayana-ayodhyakanda	36.3	translation
AjIva	AjIva	ājīva	питает жизнь	14_mahabharata-ashvamedhikaparva	14.47.12-14	translation
AjIvika	AjIvika	ājīvika	адживики	nyaya-bhashya	1.1.2	commentary
AjYA	AjYAya	ājñāya	узнав	02_ramayana-ayodhyakanda	2.19	translation
AjYAcakra	AjYAcakra	ājñācakra	Аджна-чакра	devi-gita	5.44	translation
AjYAkara	AjYAkara	ājñākara	прислужник	shatakatrayam	2.11	translation
AjYAna	AjYAna	ājñāna	незнающий	buddhacharita	12.81	translation
AjYAtf	AjYAtA	ājñātā	замечает	10_rigveda	54.5	translation
AjYapta	AjYaptaH	ājñaptaḥ	приказал	05_ramayana-sundarakanda	58.146	translation
AjYapti	AjYapti	ājñapti	приказу	02_ramayana-ayodhyakanda	80.15	translation
Aja	Aja	āja	аджей	03_ramayana-aranyakanda	35.15	translation
Ajagava	Ajagava	ājagava	Аджагава	03_mahabharata-aranyakaparva	3.126.25-34	translation
AjamIQa	AjamIQa	ājamīḍha	Аджамидха	03_mahabharata-aranyakaparva	3.6.10-11	translation
Ajan	AjAyamAnam	ā jāyamānam	когда он рождается	01_rigveda	60.3	translation
Aji	Aji	āji	бою	03_mahabharata-aranyakaparva	3.134.35-36	translation
Ajikft	Ajikft	ājikṛt	устраивающий состязание	08_rigveda	45.7	translation
Ajipati	Ajipati	ājipati	Повелитель битв	08_rigveda	54.6	translation
Ajiri	Ajire	ājire	на поле	03_ramayana-aranyakanda	69.50	translation
Ajitur	Ajituram	ājituram	победителем в бою	08_rigveda	53.6	translation
AjyAhuti	AjyAhuti	ājyāhuti	подношение маслом	kau-up	2.3	translation
Ajya	Ajyasya	ājyasya	жертвенное масло	01_atharvaveda	7.2	translation
AjyaBAga	AjyaBAga	ājyabhāga	возлияние	03_mahabharata-aranyakaparva	3.83.42-51	translation
Ajyalepa	Ajyalepa	ājyalepa	мазью жертвенного масла	kau-up	2.4	translation
Ajyapa	Ajyapa	ājyapa	Аджьяпов	manavadharmashastra	3.197	translation
AkANkz	AkANkzan	ākāṅkṣan	Ожидая	02_ramayana-ayodhyakanda	112.24	translation
AkANkzA	AkANkze	ākāṅkṣe	стремлюсь	01_mahabharata-adiparva	1.149.4-12	translation
AkANkza	AkANkze	ākāṅkṣe	стремлюсь	01_mahabharata-adiparva	1.149.4-12	translation
AkANkzin	AkANkzin	ākāṅkṣin	корыстная	bhagavadgity	18.34	translation
AkASAtman	AkASAtmA	ākāśātmā	чья сущность – пространство	ch-up	3.14.2	translation
AkASa	AkASa	ākāśa	небо	01_mahabharata-adiparva	1.22.1-5	translation
AkASacArin	AkASacArin	ākāśacārin	небесные	05_ramayana-sundarakanda	1.199	translation
AkASadeSa	AkASadeSam	ākāśadeśam	открытое место	03_mahabharata-aranyakaparva	3.63.8-11	translation
AkASaga	AkASaga	ākāśaga	летящий в небе	05_ramayana-sundarakanda	2.19	translation
AkASagaNgA	AkASagaNgA	ākāśagaṅgā	Небесная Ганга	01_ramayana-balakanda	37.7	translation
AkASagata	AkASagata	ākāśagata	пребывающему в небе	05_ramayana-sundarakanda	1.110	translation
AkASamaya	AkASamaya	ākāśamaya	из пространства	br-up	4.4.5	translation
AkASasTa	AkASasTa	ākāśastha	летящего в небе	05_ramayana-sundarakanda	27.14	translation
AkASavat	AkASavat	ākāśavat	подобный пространству	pai-up	4.12	translation
AkAlikI	AkAlikI	ākālikī	нежданной	kumarasambhava	3.34	translation
AkAlika	AkAlika	ākālika	до того же времени	manavadharmashastra	4.103	translation
AkAra	AkAra	ākāra	видится	12_mahabharata-shantiparva	12.1.13-23	translation
AkAravat	AkAravantaH	ākāravantaḥ	правильной формы	03_mahabharata-aranyakaparva	3.54.1-7	translation
AkAyya	AkAyya	ākāyya	желанном	04_rigveda	29.5	translation
AkF	AkIryamARam	ākīryamāṇam	где толпились	raghuvamsha	1.48-53	translation
AkUta	AkUta	ākūta	стремление	kama-sutra	6.1.32	translation
AkUti	AkUti	ākūti	склонностью	10_rigveda	151.4	translation
Akalpa	Akalpa	ākalpa	наряды	gitagovinda	6.11	translation
Akamp	Akampata	ākampata	дрогнул	01_mahabharata-adiparva	1.208.14-21	translation
Akan	Acake	ācake	стремлюсь	01_rigveda	25.19	translation
AkarRa	AkarRAt	ākarṇāt	до ушей	07_mahabharata-dronaparva	7.150.4-10	translation
AkarRamukta	AkarRamukta	ākarṇamukta	выпущенными (из лука, натянутого) вплоть до самого уха	07_mahabharata-dronaparva	7.120.71-76	translation
AkarRay	asya	asya	его	01_atharvaveda	9.2	translation
Akara	Akaram	ākaram	вместилище	01_mahabharata-adiparva	1.19.1-14	translation
Akarza	Akarza	ākarṣa	кости	kama-sutra	3.3.7	translation
AkarzaRa	AkarzaRa	ākarṣaṇa	привлекает	gitagovinda	8.11	translation
Akasmika	Akasmika	ākasmika	случайного	nyaya-bhashya	3.2.32	translation
Ake	Ake	āke	вблизи	02_rigveda	1.10	translation
Akenipa	AkenipAsaH	ākenipāsaḥ	Соблюдая точное время (?)	04_rigveda	45.6	translation
Akf	AkfDi	ā kṛdhi	убери	01_atharvaveda	2.2	translation
Akfti	Akfti	ākṛti	вид	01_mahabharata-adiparva	1.8.14-22	translation
Akfz	AkfzyamARa	ākṛṣyamāṇa	волок	02_ramayana-ayodhyakanda	78.17	translation
AkiMcanya	AkiYcanya	ākiñcanya	полное отречение от мира	03_mahabharata-aranyakaparva	3.203.41-51	translation
AkrAnti	AkrAnti	ākrānti	восседавший	kumarasambhava	3.11	translation
AkrIq	AkrIqa	ākrīḍa	увеселений	02_ramayana-ayodhyakanda	50.15	translation
AkrIqa	AkrIqa	ākrīḍa	увеселений	02_ramayana-ayodhyakanda	50.15	translation
AkrIqaBUmi	AkrIqaBUmi	ākrīḍabhūmi	место игр	09_mahabharata-shalyaparva	9.36.1-8	translation
AkrIqaparvata	AkrIqaparvata	ākrīḍaparvata	горок потешных	kumarasambhava	2.43	translation
Akram	AkrAntAH	ākrāntāḥ	страдала	02_ramayana-ayodhyakanda	41.20	translation
Akrama	Akrama	ākrama	занимай	01_mahabharata-adiparva	1.87.15	translation
AkramaRa	AkramaRa	ākramaṇa	подниматься	br-up	3.1.6	translation
Akrand	AkrandamAna	ākrandamāna	кричащего	03_ramayana-aranyakanda	45.3	translation
Akranda	AkrandaH	ākrandaḥ	плач	02_ramayana-ayodhyakanda	65.28	translation
Akrandita	Akrandita	ākrandita	мычание	raghuvamsha	2.26-29	translation
AkroSa	AkroSam	ākrośam	позор	02_ramayana-ayodhyakanda	106.30	translation
Akrozwf	AkrozwAraM	ākroṣṭāraṃ	клеветника	05_mahabharata-udyogaparva	5.36.4-12	translation
AkruS	AkruSya	ākruśya	обругав	manavadharmashastra	8.267	translation
Akruzwa	Akruzwa	ākruṣṭa	проклинаемый	manavadharmashastra	6.48	translation
AkuYcana	AkuYcana	ākuñcana	Сокращением	hatha-yoga-pradipika	3.62	translation
AkulIkf	AkulIkftya	ākulīkṛtya	теснил	12_mahabharata-shantiparva	12.4.10-21	translation
Akula	Akula	ākula	волновать	01_mahabharata-adiparva	1.16.32-40	translation
AkulatA	AkulatA	ākulatā	полыхало	06_mahabharata-bhishmaparva	6.68.12-19	translation
Akulatva	Akulatvam	ākulatvam	взволнована	shatakatrayam	2.18	translation
Akulay	Akulayet	ākulayet	возбуждает	kama-sutra	3.2.27	translation
Akulendriya	Akulendriya	ākulendriya	в смятенных чувствах	05_ramayana-sundarakanda	27.25	translation
Akulita	Akulita	ākulita	смятение	02_ramayana-ayodhyakanda	72.18	translation
AkumAram	AkumAram	ākumāram	вместе с пандавами	01_mahabharata-adiparva	1.118.23-30	translation
Akzepa	Akzepa	ākṣepa	полета	07_mahabharata-dronaparva	7.77.1-9	translation
Akzepin	AkzepI	ākṣepī	превосходит	yoga-sutry	2.51	translation
Akzi	Akziyati	ākṣiyati	находится	10_atharvaveda	5.45	translation
Akzika	Akzika	ākṣika	проигрыша	manavadharmashastra	8.159	translation
Akzip	Akzipyata	ākṣipyata	натягивали	01_mahabharata-adiparva	1.16.6-26	translation
Akzipta	AkziptaM	ākṣiptaṃ	увлекаемые	03_mahabharata-aranyakaparva	3.200.12-24	translation
Akzit	Akzit	ākṣit	Пребывая	03_rigveda	55.5	translation
AlAbu	AlAbu	ālābu	тыкву	03_mahabharata-aranyakaparva	3.104.17-19	translation
AlAkta	AlAktA	ālāktā	обмазана ядом	06_rigveda	75.15	translation
AlApa	AlApam	ālāpam	разговор	05_ramayana-sundarakanda	34.7	translation
AlApavat	AlApavati	ālāpavati	заводить речь	amaru-shataka	1.42	translation
AlAta	AlAta	ālāta	пылающими головнями	03_mahabharata-aranyakaparva	3.268.1-6	translation
AlI	AlIna	ālīna	заперты	02_ramayana-ayodhyakanda	114.2	translation
AlIQa	AlIQaM	ālīḍhaṃ	чуждых	vedartha-samgraha_ramanuja	2	translation
Ala	Ala	āla	нирала	06_atharvaveda	16.3	translation
AlaB	AlaBya	ālabhya	Сев	02_ramayana-ayodhyakanda	20.25	translation
AlamBa	AlamBa	ālambha	порубке	manavadharmashastra	11.145	translation
Alamb	Alambya	ālambya	поддерживая	02_ramayana-ayodhyakanda	103.23	translation
AlambAyanIputra	AlambAyanIputra	ālambāyanīputra	сына Аламбаяни	br-up	6.5.2	translation
AlambIputra	AlambIputra	ālambīputra	сына Аламби	br-up	6.5.1	translation
Alamba	Alamba	ālamba	протянулись	buddhacharita	4.30	translation
Alambana	Alambana	ālambana	вещи	buddhacharita	12.86	translation
Alap	Alapeyam	ālapeyam	говорю	03_mahabharata-aranyakaparva	3.250.1-9	translation
Alasya	AlasyAt	ālasyāt	лености	manavadharmashastra	5.4	translation
Alaya	Alaya	ālaya	обиталище	01_mahabharata-adiparva	1.21.1-6	translation
AleKya	AleKya	ālekhya	рисование	kama-sutra	1.3.15	translation
AleKyaSeza	AleKyaSeza	ālekhyaśeṣa	портрет на стене	raghuvamsha	14.15-20	translation
AleKyasamarpita	AleKyasamarpita	ālekhyasamarpita	нарисованный	raghuvamsha	3.13-15	translation
Ali	Alayat	ālayat	сотрясая	01_mahabharata-adiparva	1.17.1-17	translation
AliK	AliKantI	ālikhantī	царапающую	05_ramayana-sundarakanda	2.23	translation
AliNg	AliNgati	āliṅgati	обнимаем	shatakatrayam	3.19	translation
AliNgana	AliNgana	āliṅgana	обнять	03_mahabharata-aranyakaparva	3.115.23-30	translation
AliNgita	AliNgitAyAm	āliṅgitāyām	обняв	shatakatrayam	2.22	translation
AliNgya	AliNgya	āliṅgya	обняв	02_ramayana-ayodhyakanda	66.12	translation
AligI	AligI	āligī	алиги	05_atharvaveda	13.7	translation
Alip	Alipyata	ālipyata	был запятнан	manavadharmashastra	10.105	translation
Alocana	Alocana	ālocana	отражение	sankhya-karika	28.1	translation
Alok	AlokyA	ālokyā	непонятно	manavadharmashastra	2.161	translation
Aloka	Alokam	ālokam	следов	02_ramayana-ayodhyakanda	47.2	translation
AlokamArga	AlokamArga	ālokamārga	взглянуть наружу	raghuvamsha	7.4-12	translation
Alokana	Alokana	ālokana	взглянуть	raghuvamsha	7.4-12	translation
AlokapaTa	AlokapaTAt	ālokapathāt	от нее	raghuvamsha	15.74-78	translation
Alokin	AlokinI	ālokinī	чьи очи подобны	shatakatrayam-serebryakov	2.28	translation
Alola	Alola	ālola	кокетливо	shatakatrayam-serebryakov	3.47	translation
Aluka	Aluka	āluka	алуку	kama-sutra	4.1.29	translation
Alup	Alumpet	ālumpet	отнять	12_atharvaveda	4.34	translation
Am	Ama	āma	необожженный	03_mahabharata-aranyakaparva	3.33.11-13	translation
AmASaya	AmASaya	āmāśaya	вместилище непереваренной пищи	03_mahabharata-aranyakaparva	3.203.22-28	translation
AmAd	AmAdaH	āmādaḥ	питающиеся падалью	10_rigveda	87.7	translation
AmAtya	AmAtya	āmātya	советник	manavadharmashastra	9.294	translation
AmI	AminAnA	āminānā	Уменьшающая	01_rigveda	92.10	translation
AmIlana	AmIlana	āmīlana	прикрывать	amaru-shataka	1.95	translation
AmUlam	AmUlAt	ā mūlāt	от самого корня	12_atharvaveda	5.63	translation
AmUrtarayasa	AmUrtarayasa	āmūrtarayasa	Амуртараяса	03_mahabharata-aranyakaparva	3.121.1-14	translation
